reaction_temp_c,catalyst_concentration,reaction_time_hours,ph_level,compound_yield_mg
43.5,1.3,18.2,4.4,113.31
74.3,1.5,43.9,7.1,321.15
68.1,1.5,42.8,7.4,405.64
52.7,1.7,42.2,5.3,246.42
76.5,1.0,24.9,5.2,300.37
44.3,1.7,44.5,6.0,213.4
43.4,1.4,40.8,7.6,234.59
63.9,1.1,19.9,7.3,300.75
57.9,1.2,32.0,6.8,265.02
42.9,1.5,32.6,4.7,125.63
61.3,1.6,39.8,8.9,444.32
46.8,2.0,39.8,6.8,294.28
31.5,1.0,39.3,6.1,202.07
72.7,1.0,32.5,6.4,276.34
53.2,1.7,29.2,4.7,129.62
53.6,1.1,21.5,5.0,220.63
52.3,0.7,28.3,7.8,269.96
22.7,1.4,35.6,4.2,118.13
79.9,0.9,34.8,5.5,362.26
33.6,1.8,25.8,4.8,29.76
