reaction_temp_c,catalyst_concentration,reaction_time_hours,ph_level,compound_yield_mg
56.3,0.6,16.4,8.1,377.21
55.3,0.0,19.1,9.0,456.13
22.6,0.8,2.8,4.5,25.32
71.6,0.4,1.6,7.3,313.02
78.4,0.6,13.4,7.2,383.17
46.7,0.3,3.4,7.4,288.7
42.8,0.9,5.9,8.7,305.98
61.9,0.0,1.0,6.3,293.45
66.4,1.0,20.4,7.6,317.54
25.8,0.0,20.6,4.4,180.12
69.0,0.9,1.3,7.3,188.4
52.5,0.0,3.8,5.6,201.38
49.7,0.5,4.6,7.4,186.73
62.5,0.9,4.6,6.8,232.24
40.9,0.9,16.1,6.6,246.08
73.9,0.6,14.6,4.1,141.19
54.1,0.3,3.3,8.8,366.44
52.9,0.4,6.8,8.2,368.35
70.2,0.4,23.3,4.9,197.26
28.3,0.3,22.6,4.1,122.34
56.8,0.1,2.9,6.0,300.58
30.7,0.2,17.7,4.9,154.2
52.6,0.3,10.1,5.3,245.52
41.4,0.1,7.0,6.1,212.74
49.4,0.9,7.4,6.1,229.73
